"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"igjen","igjen","副词","","","NTNU LearnNoW","02D","2","","igjen","ADV","True","","","","Ordbank 词头匹配"
"ikke","ikke","副词","","","NTNU LearnNoW","02C","2","","ikke","ADV","True","","","","Ordbank 词头匹配"
"inn","inn","形容词","","","NTNU NoW1","02A","2","","inn","ADJ; ADV","True","","","","Ordbank 词头匹配"
"klokke","klokke","名词","","ei","NTNU NoW1","02K","2","","klokk · klokka · klokke · klokkede · klokken · klokkende · klokkene · klokker · klokkes · klokket · klokkete","NOUN","True","","","","Ordbank 词头匹配"
"koffert","koffert","名词","","en","NTNU NoW1","02A","2","","koffert · kofferten · koffertene · kofferter","NOUN","True","","","","Ordbank 词头匹配"
"kontrollere","kontrollere","动词","","å","NTNU LearnNoW","02C","2","kontrollerer, kontrollerte, har kontrollert","kontroller · kontrollere · kontrollerende · kontrollerer · kontrolleres · kontrollert · kontrollerte","VERB","True","","","","Ordbank 词头匹配"
"kunne","kunne","动词","","","NTNU NoW1","02K","2","","kan · kunne · kunnende · kunnes · kunnet","VERB","True","","","","Ordbank 词头匹配"
"lang","lang","形容词","","","NTNU LearnNoW","02D","2","langt, lange","lang · lange · langt · lengre · lengst · lengste","ADJ","True","","","","Ordbank 词头匹配"
"ledig","ledig","形容词","","","NTNU LearnNoW","02B","2","ledig, ledige","ledig · ledige · ledigere · ledigst · ledigste","ADJ","True","","","","Ordbank 词头匹配"
"like","like","动词","","","NTNU LearnNoW","02B","2","","lik · like · liken · likende · likene · liker · likes · likt · likte","VERB; NOUN; ADJ; ADV","True","","","","Ordbank 词头匹配"
"lufthavn","lufthavn","名词","","ei","NTNU LearnNoW","02B","2","lufthavna, lufthavner, lufthavnene","lufthavn · lufthavna · lufthavnen · lufthavnene · lufthavner","NOUN","True","","","","Ordbank 词头匹配"
"mamma","mamma","名词","","en","NTNU LearnNoW","02A","2","mammaen, mammaer, mammaene","mamma · mammaen · mammaene · mammaer","NOUN","True","","","","Ordbank 词头匹配"
"måte","måte","名词","","en","NTNU LearnNoW","02B","2","måten, måter, måtene","måt · måta · måte · måtede · måten · måtende · måtene · måter · måtes · måtet · måtete","NOUN","True","","","","Ordbank 词头匹配"
"men","men","名词","","","NTNU LearnNoW","02C","2","","men · mena · menene · mener · menet","NOUN; CCONJ","True","","","","Ordbank 词头匹配"
"nå","nå","副词","","","NTNU LearnNoW","02B","2","","nå · nåa · nådd · nådde · nående · nåene · nået · når · nås","ADV","True","","","","Ordbank 词头匹配"
"nei","nei","名词","","","NTNU LearnNoW","02C","2","","nei · neia · neiene · neiet","NOUN; INTJ","True","","","","Ordbank 词头匹配"
"og","og","符号","","","NTNU LearnNoW","02A","2","","Og","SYM; ADV; CCONJ","True","","","","Ordbank 词头匹配"
"også","også","副词","","","NTNU LearnNoW","02B","2","","også","ADV","True","","","","Ordbank 词头匹配"
"orden","orden","名词","","en","NTNU LearnNoW","02C","2","ordenen, ordner, ordnene","orden · ordenen · ordenene · ordener","NOUN","True","","","","Ordbank 词头匹配"
"vi","oss","代词","","","NTNU LearnNoW","02A","2","","oss · vi","PRON","True","","","","常见屈折形式/透明构词人工归一；待复核"
"pappa","pappa","名词","","en","NTNU LearnNoW","02A","2","pappaen, pappaer, pappaene","pappa · pappaen · pappaene · pappaer","NOUN","True","","","","Ordbank 词头匹配"
"pass","pass","名词","","et","NTNU LearnNoW","02C","2","passet, pass, passene","pass · passa · passen · passene · passer · passet","NOUN","True","","","","Ordbank 词头匹配"
"passkontroll","passkontroll","名词","","en","NTNU LearnNoW","02C","2","passkontrollen, passkontroller, passkontrollene","passkontroll · passkontrollen · passkontrollene · passkontroller","NOUN","True","","","","Ordbank 词头匹配"
"rope","rope","动词","","å","NTNU LearnNoW","02D","2","roper, ropte, har ropt","rop · rope · ropende · roper · ropes · ropt · ropte","VERB","True","","","","Ordbank 词头匹配"
"så","så","副词","","","NTNU LearnNoW","02B; 03D","2","","så · såa · sådd · sådde · såen · sående · såene · såer · sår · sås","ADV","True","","","","Ordbank 词头匹配"
"takk","takk","名词","","en","NTNU LearnNoW","02B","2","takken","takk · takka · takken · takkene · takker","NOUN","True","","","","Ordbank 词头匹配"
"takk","takk","名词","","","NTNU LearnNoW","02B","2","","takk · takka · takken · takkene · takker","NOUN; INTJ","True","","","","Ordbank 词头匹配"
"time","time","名词","","en","NTNU LearnNoW","02D; 08B","2","timen, timer, timene","tim · tima · time · timede · timen · timende · timene · timer · times · timet · timete","NOUN","True","","","","Ordbank 词头匹配"
"trettiåtte","trettiåtte","数词","","","NTNU LearnNoW","02C","2","","","","False","","","","常见屈折形式/透明构词人工归一；待复核"
"unnskyld","unnskyld","感叹词","","","NTNU LearnNoW","02B","2","","unnskyld","INTJ","True","","","","Ordbank 词头匹配"
"velkommen","velkommen","名词","","","NTNU LearnNoW","02D","2","","velkommen · velkomment · velkomne","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"vi","vi","代词","","","NTNU LearnNoW","02A","2","","oss · vi","PRON","True","","","","Ordbank 词头匹配"
"bære","bære","动词","","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 03B","3","bære – bærer – bar – båret / bærer, bar, har båret","bær · bære · bærende · bærer · bæres · bar · båren · båret · bårne","VERB","True","搬、拿、背","Jeg bærer denne.","","Ordbank 词头匹配"
"forstå","forstå","动词","","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03K; 04D","3","forstå – forstår – forsto – forstått / forstår, forstod, har forstått","forstå · forstående · forstår · forstås · forstått · forståtte · forsto · forstod","VERB","True","理解","Jeg forstår litt norsk.","","Ordbank 词头匹配"
"høre","høre","动词","","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03D; 06P","3","høre – hører – hørte – hørt / hører, hørte, har hørt","hør · høre · hørende · hører · høres · hørt · hørte","VERB","True","听见","Jeg hører deg.","","Ordbank 词头匹配"
"andre","andre","形容词","","","NTNU LearnNoW; NTNU NoW1","03A; 04D","3","","andre","ADJ","True","","","","Ordbank 词头匹配"
"barnehage","barnehage","名词","","en","NTNU LearnNoW; NTNU NoW1","03A; 07A","3","barnehagen, barnehager, barnehagene","barnehage · barnehagen · barnehagene · barnehager","NOUN","True","","","","Ordbank 词头匹配"
"besøk","besøk","名词","","et","NTNU LearnNoW; NTNU NoW1","03C; 05P","3","besøket, besøk, besøkene","besøk · besøka · besøkene · besøket","NOUN","True","","","","Ordbank 词头匹配"
"besøke","besøke","动词","","å","NTNU LearnNoW; NTNU NoW1","03C; 10A","3","besøker, besøkte, har besøkt","besøk · besøke · besøkende · besøker · besøkes · besøkt · besøkte","VERB","True","","","","Ordbank 词头匹配"
"bilde","bilde","名词","","et","NTNU LearnNoW; NTNU NoW1","03D; 06M","3","bildet, bilder, bildene","bilda · bilde · bildene · bilder · bildet","NOUN","True","","","","Ordbank 词头匹配"
"brødskive","brødskive","名词","","ei","NTNU LearnNoW; NTNU NoW1","03P; 05A","3","brødskiva, brødskiver, brødskivene","brødskiva · brødskive · brødskiven · brødskivene · brødskiver","NOUN","True","","","","Ordbank 词头匹配"
"bror","bror","名词","","en","NTNU LearnNoW; NTNU NoW1","03M; 12A","3","broren, brødre, brødrene","brødre · brødrene · bror · broren","NOUN","True","","","","Ordbank 词头匹配"
"bygning","bygning","名词","","en","NTNU LearnNoW; NTNU NoW1","03K; 11C","3","bygningen, bygninger, bygningene","bygning · bygninga · bygningen · bygningene · bygninger","NOUN","True","","","","Ordbank 词头匹配"
"dette","dette","动词","","","NTNU LearnNoW; NTNU NoW1","03B; 04K","3","","datt · dett · dette · dettede · dettende · detter · dettes · dettet · dettete","VERB; DET","True","","","","Ordbank 词头匹配"
"din","din","限定词","","","NTNU LearnNoW; NTNU NoW1","03B; 07A","3","di, ditt, dine","di · din · dine · ditt","DET","True","","","","Ordbank 词头匹配"
"dusj","dusj","名词","","en","NTNU LearnNoW; NTNU NoW1","03C; 03P","3","dusjen, dusjer, dusjene","dusj · dusjen · dusjene · dusjer","NOUN","True","","","","Ordbank 词头匹配"
"etasje","etasje","名词","","en","NTNU LearnNoW; NTNU NoW1","03K; 05B","3","etasjen, etasjer, etasjene","etasje · etasjen · etasjene · etasjer","NOUN","True","","","","Ordbank 词头匹配"
"fire","fire","动词","","","NTNU LearnNoW; NTNU NoW1","03B; 04M","3","","fir · fira · fire · firede · firende · firer · fires · firet · firete · firt · firte","VERB; DET","True","","","","Ordbank 词头匹配"
"gang","gang","名词","","en","NTNU LearnNoW; NTNU NoW1","03C; 05P","3","gangen, ganger, gangene","gang · gangen · gangene · ganger","NOUN","True","","","","Ordbank 词头匹配"
"gitar","gitar","名词","","en","NTNU LearnNoW; NTNU NoW1","03M; 11C","3","gitaren, gitarer, gitarene","gitar · gitaren · gitarene · gitarer","NOUN","True","","","","Ordbank 词头匹配"
"gjest","gjest","名词","","en","NTNU LearnNoW; NTNU NoW1","03M; 12B","3","gjesten, gjester, gjestene","gjest · gjesten · gjestene · gjester","NOUN","True","","","","Ordbank 词头匹配"
"henne","henne","副词","","","NTNU LearnNoW; NTNU NoW1","03A; 04C","3","","henne","ADV","True","","","","Ordbank 词头匹配"
"hente","hente","动词","","å","NTNU LearnNoW; NTNU NoW1","03D; 03K","3","henter, hentet, har hentet","hent · henta · hente · hentede · hentende · henter · hentes · hentet · hentete","VERB","True","","","","Ordbank 词头匹配"
"kjenne","kjenne","动词","","å","NTNU LearnNoW; NTNU NoW1","03A; 10B","3","kjenner, kjente, har kjent","kjenn · kjenna · kjenne · kjennende · kjennene · kjenner · kjennes · kjennet · kjent · kjente","VERB","True","","","","Ordbank 词头匹配"
"koke","koke","动词","","å","NTNU LearnNoW; NTNU NoW1","03M; 06A","3","koker, kokte, har kokt","kok · koka · koke · koken · kokende · kokene · koker · kokes · kokt · kokte","VERB","True","","","","Ordbank 词头匹配"
"kone","kone","名词","","ei","NTNU LearnNoW; NTNU NoW1","03B; 07A","3","kona, koner, konene","kona · kone · konen · konene · koner","NOUN","True","","","","Ordbank 词头匹配"
"kontrakt","kontrakt","名词","","en","NTNU LearnNoW; NTNU NoW1","03K; 09B","3","kontrakten, kontrakter, kontraktene","kontrakt · kontrakten · kontraktene · kontrakter","NOUN","True","","","","Ordbank 词头匹配"
"løpe","løpe","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","løpe – løper – løp – løpt / løper, løp, har løpt","løp · løpe · løpende · løper · løpes · løpet · løpt · løpte","VERB","True","跑","Jeg løper hjem.","","Ordbank 词头匹配"
"måtte","måtte","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","må, måtte, har måttet / måtte – må – måtte – måttet","må · måtte · måttet","VERB","True","必须","Jeg må øve.","","Ordbank 词头匹配"
"skole","skole","名词","","en","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","en skole · skolen · skoler · skolene / skolen, skoler, skolene","skol · skole · skolen · skolende · skolene · skoler · skoles · skolt · skolte","NOUN","True","学校","Barnet går på skolen.","孩子去上学。","Ordbank 词头匹配"
"skulle","skulle","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","skal, skulle, har skullet / skulle – skal – skulle – skullet","skal · skulle · skullende · skullet","VERB","True","将要、计划","Jeg skal jobbe.","","Ordbank 词头匹配"
"tenke","tenke","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","tenke – tenker – tenkte – tenkt / tenker, tenkte, har tenkt","tenk · tenke · tenkende · tenker · tenkes · tenkt · tenkte","VERB","True","想、思考","Jeg tenker på framtida.","","Ordbank 词头匹配"
"ville","ville","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","vil, ville, har villet / ville – vil – ville – villet","vil · villa · ville · villede · villen · villende · villene · viller · villes · villet · villete","VERB","True","想、愿意","Jeg vil lære norsk.","","Ordbank 词头匹配"
"aldri","aldri","副词","","","NTNU NoW1","03A","3","","aldri","ADV","True","","","","Ordbank 词头匹配"
"alene","alene","副词","","","NTNU LearnNoW","03D","3","","alene","ADV","True","","","","Ordbank 词头匹配"
"av","av","介词","","","NTNU LearnNoW","03B","3","","AV","ADP","True","","","","Ordbank 词头匹配"
"balkong","balkong","名词","","en","NTNU LearnNoW","03C","3","balkongen, balkonger, balkongene","balkong · balkongen · balkongene · balkonger","NOUN","True","","","","Ordbank 词头匹配"
"benk","benk","名词","","en","NTNU LearnNoW","03C","3","benken, benker, benkene","benk · benken · benkene · benker","NOUN","True","","","","Ordbank 词头匹配"
"bluse","bluse","名词","","ei","NTNU LearnNoW","03D","3","blusa, bluser, blusene","blusa · bluse · blusen · blusene · bluser","NOUN","True","","","","Ordbank 词头匹配"
"bokhylle","bokhylle","名词","","ei","NTNU NoW1","03A","3","","bokhylla · bokhylle · bokhyllen · bokhyllene · bokhyller","NOUN","True","","","","Ordbank 词头匹配"
"borte","borte","副词","","","NTNU LearnNoW","03C","3","","borte","ADV","True","","","","Ordbank 词头匹配"
"bror","brødre","名词","","","NTNU NoW1","03M","3","","brødre · brødrene · bror · broren","NOUN","True","","","","常见屈折形式/透明构词人工归一；待复核"
"brun","brun","形容词","","","NTNU NoW1","03A","3","","brun · brune · brunere · brunest · bruneste · brunt","ADJ","True","","","","Ordbank 词头匹配"
"bukse","bukse","名词","","ei","NTNU LearnNoW","03D","3","buksa, bukser, buksene","buksa · bukse · buksen · buksene · bukser","NOUN","True","","","","Ordbank 词头匹配"
"da","da","符号","","","NTNU NoW1","03P; 05M","3","","da","SYM; SCONJ; ADV","True","","","","Ordbank 词头匹配"
"dele","dele","动词","","å","NTNU NoW1","03A","3","","del · dela · dele · delende · delene · deler · deles · delet · delt · delte","VERB","True","","","","Ordbank 词头匹配"
"der","der","副词","","","NTNU LearnNoW","03C","3","","der","ADV","True","","","","Ordbank 词头匹配"
"dessverre","dessverre","副词","","","NTNU NoW1","03K","3","","dessverre","ADV","True","","","","Ordbank 词头匹配"
"ennå","ennå","副词","","","NTNU NoW1","03K","3","","ennå","ADV","True","","","","Ordbank 词头匹配"
"etter","etter","介词","","","NTNU LearnNoW","03B","3","","etter","ADP","True","","","","Ordbank 词头匹配"
"etternavn","etternavn","名词","","et","NTNU NoW1","03K","3","","etternavn · etternavna · etternavnene · etternavnet","NOUN","True","","","","Ordbank 词头匹配"
"fæl","fæl","形容词","","","NTNU NoW1","03A","3","","fæl · fæle · fælere · fælest · fæleste · fælt","ADJ","True","","","","Ordbank 词头匹配"
"fin","fin","形容词","","","NTNU NoW1","03M","3","","fin · fine · finere · finest · fineste · fint","ADJ","True","","","","Ordbank 词头匹配"
"flyttebil","flyttebil","名词","","en","NTNU LearnNoW","03A","3","flyttebilen, flyttebiler, flyttebilene","","","False","","","","存在多个可能词头；需人工消歧"
"flyttebyrå","flyttebyrå","名词","","et","NTNU LearnNoW","03B","3","flyttebyrået, flyttebyråer, flyttebyråene","flyttebyrå · flyttebyråa · flyttebyråene · flyttebyråer · flyttebyrået","NOUN","True","","","","Ordbank 词头匹配"
"fødselsdato","fødselsdato","名词","","en","NTNU NoW1","03K","3","","","","False","","","","存在多个可能词头；需人工消歧"
"for","for","介词","","","NTNU LearnNoW","03D","3","","for · fora · forene · foret","ADP","True","","","","Ordbank 词头匹配"
"foran","foran","介词","","","NTNU LearnNoW","03D","3","","foran","ADP","True","","","","Ordbank 词头匹配"
"formiddag","formiddag","名词","","en","NTNU LearnNoW","03B","3","formiddagen, formiddager, formiddagene","formiddag · formiddagen · formiddagene · formiddager","NOUN","True","","","","Ordbank 词头匹配"
"første","første","形容词","","","NTNU NoW1","03K","3","","første","ADJ","True","","","","Ordbank 词头匹配"
"garasje","garasje","名词","","en","NTNU LearnNoW","03C","3","garasjen, garasjer, garasjene","garasje · garasjen · garasjene · garasjer","NOUN","True","","","","Ordbank 词头匹配"
"gardin","gardin","名词","","et","NTNU NoW1","03A","3","","gardin · gardina · gardinen · gardinene · gardiner · gardinet","NOUN","True","","","","Ordbank 词头匹配"
"gjennom","gjennom","介词","","","NTNU NoW1","03A","3","","gjennom","ADP","True","","","","Ordbank 词头匹配"
"grei","grei","形容词","","","NTNU LearnNoW","03C","3","greit, greie","grei · greie · greiere · greiest · greieste · greit","ADJ","True","","","","Ordbank 词头匹配"
"grei","greit","形容词","","","NTNU NoW1","03K","3","","grei · greie · greiere · greiest · greieste · greit","ADJ","True","","","","常见屈折形式/透明构词人工归一；待复核"
"hår","hår","名词","","et","NTNU LearnNoW","03D","3","håret, hår, hårene","hår · håra · hårene · håret","NOUN","True","","","","Ordbank 词头匹配"
"hjemme","hjemme","副词","","","NTNU NoW1","03A","3","","hjemme","ADV","True","","","","Ordbank 词头匹配"
"hjemme","hjemme","副词","","","NTNU LearnNoW","03A","3","","hjemme","ADV","True","","","","Ordbank 词头匹配"
"hjørne","hjørne","名词","","et","NTNU LearnNoW","03C","3","hjørnet, hjørner, hjørnene","hjørna · hjørne · hjørnene · hjørner · hjørnet","NOUN","True","","","","Ordbank 词头匹配"
"hoppe","hoppe","动词","","å","NTNU LearnNoW","03C","3","hopper, hoppet, har hoppet","hopp · hoppa · hoppe · hoppede · hoppen · hoppende · hoppene · hopper · hoppes · hoppet · hoppete","VERB","True","","","","Ordbank 词头匹配"
"høy","høy","名词","","","NTNU NoW1","03A; 09B","3","","høy · høya · høye · høyene · høyere · høyest · høyeste · høyet · høyt","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"hybel","hybel","名词","","en","NTNU NoW1","03K","3","","hybel · hybelen · hyblene · hybler","NOUN","True","","","","Ordbank 词头匹配"
"hylle","hylle","名词","","ei","NTNU LearnNoW","03D","3","hylla, hyller, hyllene","hyll · hylla · hylle · hyllede · hyllen · hyllende · hyllene · hyller · hylles · hyllet · hyllete","NOUN","True","","","","Ordbank 词头匹配"
"inn","inn","副词","","","NTNU LearnNoW","03A","3","","inn","ADV","True","","","","Ordbank 词头匹配"
"inne","inne","副词","","","NTNU NoW1","03P","3","","inne","ADV","True","","","","Ordbank 词头匹配"
"instrument","instrument","名词","","et","NTNU NoW1","03M","3","","instrument · instrumenta · instrumentene · instrumenter · instrumentet","NOUN","True","","","","Ordbank 词头匹配"
"inventarliste","inventarliste","名词","","ei","NTNU NoW1","03K","3","","inventarlista · inventarliste · inventarlisten · inventarlistene · inventarlister","NOUN","True","","","","Ordbank 词头匹配"
"italiener","italiener","名词","","en","NTNU NoW1","03P","3","","italiener · italienere · italieneren · italienerne","NOUN","True","","","","Ordbank 词头匹配"
"jus","jus","名词","","en","NTNU NoW1","03P","3","","jus · jusen · jusene · juser · jussen · jussene · jusser","NOUN","True","","","","Ordbank 词头匹配"
"kalle","kalle","动词","","å","NTNU LearnNoW","03B","3","kaller, kalte, har kalt","kall · kalle · kallende · kaller · kalles · kalt · kalte","VERB","True","","","","Ordbank 词头匹配"
"kamera","kamera","名词","","et","NTNU LearnNoW","03D","3","kameraet, kameraer, kameraene","kamera · kameraene · kameraer · kameraet","NOUN","True","","","","Ordbank 词头匹配"
"kjempefin","kjempefint","形容词","","","NTNU LearnNoW","03D","3","kjempefint, kjempefine","kjempefint","ADJ","True","","","","按 Ordbank 屈折形式归回词头"
"kjempeflink","kjempeflink","形容词","","","NTNU NoW1","03M","3","","","","False","","","","常见屈折形式/透明构词人工归一；待复核"
"kjempesulten","kjempesulten","形容词","","","NTNU NoW1","03P","3","","","","False","","","","常见屈折形式/透明构词人工归一；待复核"
"kjøkkenbenk","kjøkkenbenk","名词","","en","NTNU NoW1","03M","3","","kjøkkenbenk · kjøkkenbenken · kjøkkenbenkene · kjøkkenbenker","NOUN","True","","","","Ordbank 词头匹配"
"klesskap","klesskap","名词","","et","NTNU LearnNoW","03D","3","klesskapet, klesskap, klesskapene","klesskap · klesskapa · klesskapene · klesskapet","NOUN","True","","","","Ordbank 词头匹配"
"komfyr","komfyr","名词","","en","NTNU LearnNoW","03C","3","komfyren, komfyrer, komfyrene","komfyr · komfyren · komfyrene · komfyrer","NOUN","True","","","","Ordbank 词头匹配"
"kommode","kommode","名词","","en","NTNU LearnNoW","03D","3","kommoden, kommoder, kommodene","kommode · kommoden · kommodene · kommoder","NOUN","True","","","","Ordbank 词头匹配"
"kvarter","kvarter","名词","","et","NTNU LearnNoW","03B","3","kvarteret, kvarterer, kvarterene","kvarter · kvartera · kvarterene · kvarterer · kvarteret","NOUN","True","","","","Ordbank 词头匹配"
"lastebil","lastebil","名词","","en","NTNU LearnNoW","03B","3","lastebilen, lastebiler, lastebilene","lastebil · lastebilen · lastebilene · lastebiler","NOUN","True","","","","Ordbank 词头匹配"
"le","le","动词","","å","NTNU LearnNoW","03A","3","ler, lo, har ledd","le · lea · ledd · ledde · leende · leene · leet · ler · les · lo","VERB","True","","","","Ordbank 词头匹配"
"lenestol","lenestol","名词","","en","NTNU LearnNoW","03C","3","lenestolen, lenestoler, lenestolene","lenestol · lenestolen · lenestolene · lenestoler","NOUN","True","","","","Ordbank 词头匹配"
"madrass","madrass","名词","","en","NTNU LearnNoW","03A","3","madrassen, madrasser, madrassene","madrass · madrassen · madrassene · madrasser","NOUN","True","","","","Ordbank 词头匹配"
"mandag","mandag","名词","","en","NTNU LearnNoW","03A","3","mandagen,  mandager,  mandagene","mandag · mandagen · mandagene · mandager","NOUN","True","","","","Ordbank 词头匹配"
"jeg","meg","代词","","","NTNU LearnNoW","03B","3","","jeg · jega · jegene · jeger · jeget · meg","NOUN; PRON","True","","","","常见屈折形式/透明构词人工归一；待复核"
"mellom","mellom","介词","","","NTNU LearnNoW","03D","3","","mellom","ADP","True","","","","Ordbank 词头匹配"
"min","min","限定词","","","NTNU LearnNoW","03B; 08D","3","mi, mitt, mine / min, mitt, mine","mi · min · mine · mitt","DET; ABBR","True","","","","Ordbank 词头匹配"
"møbel","møbel","名词","","et","NTNU LearnNoW","03B","3","møbelet, møbler, møblene","møbel · møbelet · møbla · møblene · møbler","NOUN","True","","","","Ordbank 词头匹配"
"morfar","morfar","名词","","en","NTNU LearnNoW","03C","3","morfaren, morfedre, morfedrene","morfar · morfaren · morfedre · morfedrene","NOUN","True","","","","Ordbank 词头匹配"
"mormor","mormor","名词","","ei","NTNU LearnNoW","03C","3","mormora, mormødre, mormødrene","mormødre · mormødrene · mormødrer · mormor · mormora · mormoren","NOUN","True","","","","Ordbank 词头匹配"
"morsom","morsom","形容词","","","NTNU LearnNoW","03A","3","morsomt, morsomme","morsom · morsomme · morsommere · morsomst · morsomste · morsomt","ADJ","True","","","","Ordbank 词头匹配"
"musikk","musikk","名词","","en","NTNU LearnNoW","03D","3","musikken (uncountable)","musikk · musikken · musikkene · musikker","NOUN","True","","","","Ordbank 词头匹配"
"nabohus","nabohus","名词","","et","NTNU LearnNoW","03B","3","nabohuset, nabohus, nabohusene","nabohus · nabohusa · nabohusene · nabohuset","NOUN","True","","","","Ordbank 词头匹配"
"oppvaskmaskin","oppvaskmaskin","名词","","en","NTNU LearnNoW","03C","3","oppvaskmaskinen, oppvaskmaskiner, oppvaskmaskinene","oppvaskmaskin · oppvaskmaskinen · oppvaskmaskinene · oppvaskmaskiner","NOUN","True","","","","Ordbank 词头匹配"
"ordne","ordne","动词","","å","NTNU LearnNoW","03D","3","ordner, ordnet, har ordnet","ordn · ordna · ordne · ordnede · ordnende · ordner · ordnes · ordnet · ordnete","VERB","True","","","","Ordbank 词头匹配"
"plass","plass","名词","","en","NTNU LearnNoW","03C","3","plassen, plasser, plassene","plass · plassen · plassene · plasser","NOUN","True","","","","Ordbank 词头匹配"
"riktig","riktig","形容词","","","NTNU LearnNoW","03B","3","riktig, riktige","riktig · riktige · riktigere · riktigst · riktigste","ADJ","True","","","","Ordbank 词头匹配"
"ringe","ringe","动词","","å","NTNU LearnNoW","03C","3","ringer, ringte, har ringt","ring · ringa · ringe · ringede · ringen · ringende · ringene · ringer · ringes · ringet · ringete · ringt · ringte","VERB","True","","","","Ordbank 词头匹配"
"rundt","rundt","介词","","","NTNU LearnNoW","03A","3","","rundt","ADP","True","","","","Ordbank 词头匹配"
"salongbord","salongbord","名词","","et","NTNU LearnNoW","03C","3","salongbordet, salongbord, salongbordene","salongbord · salongborda · salongbordene · salongborder · salongbordet","NOUN","True","","","","Ordbank 词头匹配"
"seks","seks","限定词","","","NTNU LearnNoW","03C","3","","seks","DET","True","","","","Ordbank 词头匹配"
"sjåfør","sjåfør","名词","","en","NTNU LearnNoW","03B","3","sjåføren, sjåfører, sjåførene","sjåfør · sjåføren · sjåførene · sjåfører","NOUN","True","","","","Ordbank 词头匹配"
"skap","skap","名词","","et","NTNU LearnNoW","03D","3","skapet, skap, skapene","skap · skapa · skapene · skapet","NOUN","True","","","","Ordbank 词头匹配"
"skjørt","skjørt","名词","","et","NTNU LearnNoW","03D","3","skjørtet, skjørt, skjørtene","skjørt · skjørta · skjørtene · skjørter · skjørtet","NOUN","True","","","","Ordbank 词头匹配"
"skrivebord","skrivebord","名词","","et","NTNU LearnNoW","03D","3","skrivebordet, skrivebord, skrivebordene","skrivebord · skriveborda · skrivebordene · skriveborder · skrivebordet","NOUN","True","","","","Ordbank 词头匹配"
"smile","smile","动词","","å","NTNU LearnNoW","03A","3","smiler, smilte, har smilt","smil · smile · smilende · smiler · smiles · smilt · smilte","VERB","True","","","","Ordbank 词头匹配"
"sminke","sminke","名词","","en","NTNU LearnNoW","03D","3","sminken, sminker, sminkene","smink · sminka · sminke · sminkede · sminken · sminkende · sminkene · sminker · sminkes · sminket · sminkete","NOUN","True","","","","Ordbank 词头匹配"
"snart","snart","副词","","","NTNU LearnNoW","03C","3","snart, snare","snarere · snarest · snart","ADV","True","","","","Ordbank 词头匹配"
"sofa","sofa","名词","","en","NTNU LearnNoW","03C","3","sofaen, sofaer, sofaene","sofa · sofaen · sofaene · sofaer","NOUN","True","","","","Ordbank 词头匹配"
"soverom","soverom","名词","","et","NTNU LearnNoW","03C","3","soveromet, soverom, soverommene","soverom · soveromma · soverommene · soverommet","NOUN","True","","","","Ordbank 词头匹配"
"speil","speil","名词","","et","NTNU LearnNoW","03D","3","speilet, speil, speilene","speil · speila · speilene · speilet","NOUN","True","","","","Ordbank 词头匹配"
"spisebord","spisebord","名词","","et","NTNU LearnNoW","03C","3","spisebordet, spisebord, spisebordene","spisebord · spiseborda · spisebordene · spiseborder · spisebordet","NOUN","True","","","","Ordbank 词头匹配"
"stoppe","stoppe","动词","","å","NTNU LearnNoW","03B","3","stopper, stoppet, har stoppet","stopp · stoppa · stoppe · stoppede · stoppende · stopper · stoppes · stoppet · stoppete","VERB","True","","","","Ordbank 词头匹配"
"stue","stue","名词","","ei","NTNU LearnNoW","03C","3","stua, stuer, stuene","stu · stua · stue · stuede · stuen · stuende · stuene · stuer · stues · stuet · stuete","NOUN","True","","","","Ordbank 词头匹配"
"synge","synge","动词","","å","NTNU LearnNoW","03D","3","synger, sang, har sunget","sang · sungen · sunget · sungne · syng · synge · syngende · synger · synges","VERB","True","","","","Ordbank 词头匹配"
"tirsdag","tirsdag","名词","","en","NTNU LearnNoW","03C","3","tirsdagen, tirsdager, tirsdagene","tirsdag · tirsdagen · tirsdagene · tirsdager","NOUN","True","","","","Ordbank 词头匹配"
"to","to","名词","","","NTNU LearnNoW","03B","3","","to · toa · toen · toene · toer · toet","NOUN; DET","True","","","","Ordbank 词头匹配"
"trapp","trapp","名词","","ei","NTNU LearnNoW","03C","3","trappa, trapper, trappene","trapp · trappa · trappen · trappene · trapper","NOUN","True","","","","Ordbank 词头匹配"
