"lemma","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","zh","exampleNb","exampleZh","levelBasis","reviewStatus"
"fortelle","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04P; 07B","4","fortelle · forteller · fortalte · fortalt / forteller, fortalte, har fortalt","讲述；告诉","Kan du fortelle meg hva som skjedde? / Bestefar fortalte en morsom historie.","你能告诉我发生了什么吗？ / 爷爷讲了一个有趣的故事。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fotball","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 06M","4","en fotball · fotballen · fotballer · fotballene / fotballen, fotballer, fotballene","足球；足球运动","Sønnen min spiller fotball hver tirsdag. / Fotballen ligger i hagen.","我儿子每周二踢足球。 / 足球在花园里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gave","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04C; 10B","4","en gave · gaven · gaver · gavene / gaven, gaver, gavene","礼物；赠品（不是英语 gift 的“毒品”义）","Jeg kjøpte en gave til mamma. / Barna åpnet gavene etter middagen.","我给妈妈买了一份礼物。 / 孩子们晚饭后打开了礼物。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"genser","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 12A","4","en genser · genseren · gensere · genserne / genseren, gensere, genserne","毛衣；套头衫；针织衫","Ta på deg en varm genser, det er kaldt. / Genseren min er blå.","穿上一件暖和的毛衣，天气很冷。 / 我的毛衣是蓝色的。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gi","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 07A","4","gi · gir · ga · gitt / gir, ga, har gitt","给；递给；提供；造成（依语境）","Jeg gir naboen en nøkkel. / Hun ga meg beskjed i går.","我给邻居一把钥匙。 / 她昨天通知了我。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"handle","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04K; 05C","4","handle · handler · handlet · handlet / handler, handlet, har handlet","购物；买东西；处理/经营（依语境）","Jeg handler mat på butikken etter jobb. / Vi handlet alt til festen i går.","我下班后去商店买食物。 / 我们昨天买齐了聚会需要的东西。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"invitere","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04P; 11A","4","invitere · inviterer · inviterte · invitert / inviterer, inviterte, har invitert","邀请；请……参加/到访","Vi inviterer naboene til middag på lørdag. / Hun inviterte meg hjem på kaffe.","我们邀请邻居星期六来吃晚饭。 / 她邀请我去她家喝咖啡。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kake","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04M; 06D","4","ei kake · kaka · kaker · kakene / kaka, kaker, kakene","蛋糕；糕点；一块蛋糕（依语境）","Jeg baker en kake til fødselsdagen. / Kaka står på bordet.","我为生日烤一个蛋糕。 / 蛋糕放在桌子上。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kakestykke","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04M; 06D","4","et kakestykke · kakestykket · kakestykker · kakestykkene / kakestykket, kakestykker, kakestykkene","一块蛋糕；一份切下来的蛋糕","Vil du ha et kakestykke til kaffen? / Kakestykkene står på kjøkkenbordet.","你想来一块蛋糕配咖啡吗？ / 那些蛋糕块放在厨房桌上。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kasse","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04K; 05C","4","ei kasse · kassa · kasser · kassene / kassa, kasser, kassene","箱子；收银台/收银处；一箱（依语境）","Jeg betaler i kassa. / Eplene ligger i ei kasse.","我在收银台付款。 / 苹果装在一个箱子里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"klasse","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04D; 07B","4","en klasse · klassen · klasser · klassene / klassen, klasser, klassene","班级；年级；课堂；类别（依语境）","Datteren min går i tredje klasse. / Hele klassen skal på tur.","我女儿读三年级。 / 全班要一起去郊游。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"klem","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 08B","4","en klem · klemmen · klemmer · klemmene / klemmen, klemmer, klemmene","拥抱；搂抱（友好或亲昵的拥抱）","Bestemor gir barnebarnet en klem. / Hun fikk en varm klem av venninnen.","奶奶拥抱了孙子 / 孙女。 / 她得到了女友一个温暖的拥抱。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"klesbutikk","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 06C","4","en klesbutikk · klesbutikken · klesbutikker · klesbutikkene / klesbutikken, klesbutikker, klesbutikkene","服装店；卖衣服的商店","Jeg fant en varm jakke i klesbutikken. / Det ligger flere klesbutikker i sentrum.","我在服装店找到一件暖和的外套。 / 市中心有好几家服装店。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kontor","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04B; 06K","4","et kontor · kontoret · kontorer · kontorene / kontoret, kontorer, kontorene","办公室；办公处；办事处","Lederen sitter på kontoret sitt. / Kommunen har et kontor i sentrum.","经理在自己的办公室里。 / 市政府在市中心有一个办事处。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"allerede","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","allerede","已经；早已","Jeg har allerede spist frokost. / Er klokka allerede åtte?","我已经吃过早饭了。 / 已经八点了吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"åpne","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","åpne · åpner · åpnet · åpnet / åpner, åpnet, har åpnet","打开；开门；开办/营业","Kan du åpne vinduet litt? / Butikken åpner klokka ni på lørdag.","你能把窗户打开一点吗？ / 商店星期六九点开门营业。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"august","名词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","august","八月","Skolen begynner igjen i august. / Vi skal reise til Bergen i august.","学校八月份重新开学。 / 我们八月份要去卑尔根。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bagett","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04M","4","en bagett · bagetten · bagetter · bagettene","法棍；长形法式面包","Jeg kjøper en bagett til lunsj. / Bagettene ligger ved siden av brødet.","我买一条法棍当午餐。 / 法棍放在面包旁边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bakeri","名词","A1","et","NTNU NoW1; NorweigenLearn 当前词库","04M","4","et bakeri · bakeriet · bakerier · bakeriene","面包店；烘焙坊","Vi kjøper rundstykker på bakeriet. / Det åpner et nytt bakeri i gata.","我们在面包店买小圆面包。 / 街上要开一家新面包店。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"banke","动词","A1","å","NTNU NoW1; NorweigenLearn 当前词库","04M","4","banke · banker · banket · banket","敲；叩；敲打","Det banker på døra. / Hun banket forsiktig på vinduet.","有人在敲门。 / 她轻轻敲了敲窗户。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bekreftelse","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04P","4","en bekreftelse · bekreftelsen · bekreftelser · bekreftelsene","确认；确认信息；确认函/凭证","Jeg fikk en bekreftelse på e-post. / Ta med bekreftelsen til timen.","我通过电子邮件收到了一份确认通知。 / 去预约时把确认凭证带上。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bokhandel","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04M","4","en bokhandel · bokhandelen · bokhandler · bokhandlene","书店","Jeg kjøper en norsk ordbok i bokhandelen. / Bokhandelen ligger ved siden av kafeen.","我在书店买一本挪威语词典。 / 书店在咖啡馆旁边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bolle","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","04K","4","ei bolle · bolla · boller · bollene","小圆面包；甜面包；一碗（依语境）","Jeg kjøper en kanelbolle til kaffen. / Hun spiser suppe fra ei bolle.","我买一个肉桂小圆面包配咖啡。 / 她用碗喝汤。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"brev","名词","A1","et","NTNU NoW1; NorweigenLearn 当前词库","04P","4","et brev · brevet · brev · brevene","信；信件；书面通知","Jeg skriver et brev til bestemor. / Brevet kom i posten i går.","我给外婆写一封信。 / 这封信昨天邮寄到了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"brødhylle","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","04K","4","ei brødhylle · brødhylla · brødhyller · brødhyllene","面包货架；放面包的架子","Det står ferske rundstykker på brødhylla. / Jeg fant grovbrød på den nederste brødhylla.","面包架上放着新鲜的小圆面包。 / 我在最下面的面包架上找到了全麦面包。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"da","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","da","那时；当时；那么；于是（依上下文）","Da bodde jeg i en liten leilighet. / Hvis du er ferdig, kan vi da gå.","那时我住在一间小公寓里。 / 如果你准备好了，那么我们就可以走了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"dyne","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","04M","4","ei dyne · dyna · dyner · dynene","被子；羽绒被/棉被（盖在身上的被芯）","Jeg legger et rent dynetrekk på dyna. / Katten ligger under dyna.","我给被子套上干净的被套。 / 猫躺在被子下面。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fin","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","fin · fint · fine · finere · finest / fint, fine","漂亮的；好的；不错的；愉快的（依语境）","Det er en fin dag i dag. / De har et fint hus nær sjøen.","今天天气真好。 / 他们在海边有一栋漂亮的房子。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fødselsdag","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","en fødselsdag · fødselsdagen · fødselsdager · fødselsdagene / fødselsdagen, fødselsdager, fødselsdagene","生日；出生纪念日","Datteren min har fødselsdag i mai. / Vi feiret fødselsdagen hennes hjemme.","我女儿五月过生日。 / 我们在家给她庆祝了生日。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"forklare","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","forklare · forklarer · forklarte · forklart / forklarer, forklarte, har forklart","解释；说明；讲解","Læreren forklarer grammatikken på en enkel måte. / Kan du forklare meg hvordan appen virker?","老师用简单的方式讲解语法。 / 你能给我解释一下这个应用怎么用吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"først","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","først","首先；最先；才（表示先后）","Først spiser vi, så går vi. / Hun kom først til møtet.","我们先吃饭，然后再走。 / 她最先到了会议。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fotoautomat","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04P","4","en fotoautomat · fotoautomaten · fotoautomater · fotoautomatene","自助照相亭；证件照自动拍摄机","Jeg tok passfoto i en fotoautomat på stasjonen. / Fotoautomaten tar både kort og kontanter.","我在车站的自助照相亭拍了护照照片。 / 这台自助照相亭既收银行卡也收现金。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fram","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","fram","向前；往前；进展","Gå litt fram, så ser du skiltet. / Jeg finner fram billettene.","往前走一点，你就能看到标志。 / 我把车票找出来。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"frimerke","名词","A1","et","NTNU NoW1; NorweigenLearn 当前词库","04K","4","et frimerke · frimerket · frimerker · frimerkene","邮票","Jeg setter et frimerke på konvolutten. / Frimerkene er til julekortene.","我在信封上贴一张邮票。 / 这些邮票是给圣诞贺卡用的。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fruktdisk","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04K","4","en fruktdisk · fruktdisken · fruktdisker · fruktdiskene","水果柜台；水果展示区","Eplene ligger i fruktdisken ved inngangen. / Butikken har en stor fruktdisk.","苹果放在入口旁的水果柜台。 / 这家商店有一个很大的水果柜台。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gebyr","名词","A1","et","NTNU NoW1; NorweigenLearn 当前词库","04P","4","et gebyr · gebyret · gebyrer · gebyrene","手续费；服务费；费用","Det koster et gebyr på femti kroner. / Banken tok et gebyr for overføringen.","这项服务收取五十克朗手续费。 / 银行为这笔转账收取了手续费。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gjerne","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","gjerne · heller · helst","乐意；愿意；很想；常常（依语境）","Vil du ha kaffe? – Ja, gjerne. / Jeg vil gjerne lære mer norsk.","你想喝咖啡吗？——好啊，乐意。 / 我很想多学一些挪威语。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gøy","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","gøy · gøye · gøyere · gøyest","有趣的；好玩的；令人愉快的","Barna hadde det gøy i svømmehallen. / Det er gøy å lære nye ord.","孩子们在游泳馆玩得很开心。 / 学习新单词很有趣。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"halv","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","halv · halvt · halve / halvt, halve","半；一半的","Bussen går om en halv time. / Møtet begynner klokka halv ni.","公交车半小时后发车。 / 会议八点半开始。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"handlekurv","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04M","4","en handlekurv · handlekurven · handlekurver · handlekurvene","购物篮；手提购物篮","Jeg legger brød og melk i handlekurven. / Butikken har små handlekurver ved inngangen.","我把面包和牛奶放进购物篮。 / 商店入口处有小购物篮。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"handlevogn","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","04K","4","ei handlevogn · handlevogna · handlevogner · handlevognene","购物车；超市推车","Vi tar en handlevogn fordi vi skal kjøpe mye. / Handlevogna står ved kassa.","我们拿一辆购物车，因为要买很多东西。 / 购物车停在收银台旁边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"helseforsikring","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04P","4","ei helseforsikring · helseforsikringa · helseforsikringer · helseforsikringene","健康保险；医疗保险","Arbeidsgiveren tilbyr privat helseforsikring. / Hun undersøker hva helseforsikringen dekker.","雇主提供私人医疗保险。 / 她在查询医疗保险的保障范围。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hos","介词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","hos","在……那里；到……那里；在某人/专业人士处","Vi spiser middag hos foreldrene mine. / Jeg har time hos tannlegen klokka to.","我们在我父母家吃晚饭。 / 我两点有牙医预约。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"høyre","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","høyre","右边的；右侧的（通常修饰身体部位或位置）","Hun skriver med høyre hånd. / Apoteket ligger på høyre side av gata.","她用右手写字。 / 药房在街道右侧。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"humør","名词","A1","et","NTNU NoW1; NorweigenLearn 当前词库","04M","4","et humør · humøret · humør · humørene","心情；情绪；情绪状态","Hun er i godt humør i dag. / Været påvirker humøret mitt.","她今天心情很好。 / 天气会影响我的心情。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"interiørbutikk","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04M","4","en interiørbutikk · interiørbutikken · interiørbutikker · interiørbutikkene","家居用品店；室内装饰用品商店","Vi kjøpte nye gardiner i en interiørbutikk. / Interiørbutikken ligger ved siden av kjøpesenteret.","我们在一家家居用品店买了新窗帘。 / 家居用品店在购物中心旁边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"is","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","en is · isen · iser · isene / isen, iser, isene","冰淇淋；冰（同形词，依语境）","Barna kjøper en is etter skolen. / Det er glatt fordi det ligger is på veien.","孩子们放学后买一个冰淇淋。 / 路上结冰了，所以很滑。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"jernbanestasjon","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04P","4","en jernbanestasjon · jernbanestasjonen · jernbanestasjoner · jernbanestasjonene","火车站；铁路车站","Vi møtes foran jernbanestasjonen. / Toget går fra jernbanestasjonen klokka seks.","我们在火车站前面见。 / 火车六点从火车站发车。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"jobb","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","en jobb · jobben · jobber · jobbene / jobben, jobber, jobbene","工作；职位；一份工作","Hun søker jobb på et sykehus. / Jeg er på jobben til klokka fire.","她在申请医院的工作。 / 我在工作单位待到四点。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kjær","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","kjær · kjært · kjære · kjære / kjært, kjære","亲爱的；珍爱的；心爱的（常见于固定称呼）","Kjære Maria, takk for brevet ditt. / Han mistet en kjær venn i fjor.","亲爱的玛丽亚，谢谢你的来信。 / 他去年失去了一位挚友。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kjøledisk","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","04K","4","en kjøledisk · kjøledisken · kjøledisker · kjølediskene","冷藏柜；冷柜（商店展示冷藏食品的柜台）","Melka står i kjøledisken ved inngangen. / Butikken har en ny kjøledisk.","牛奶放在入口旁的冷藏柜里。 / 商店有一台新的冷藏柜。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"koselig","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","koselig · koselig · koselige · koseligere · koseligst / koseligste / koselig, koselige","舒适温馨的；惬意的；令人愉快的","Vi hadde en koselig kveld med venner. / Det er koselig å sitte her.","我们和朋友度过了一个温馨愉快的夜晚。 / 坐在这里感觉很惬意。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kryss","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","et kryss · krysset · kryss · kryssene / krysset, kryss, kryssene","十字路口；交叉处；叉号/勾号（依语境）","Ta til høyre i neste kryss. / Sett et kryss ved riktig svar.","在下一个路口右转。 / 在正确答案旁打一个勾。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"lære","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","lære · lærer · lærte · lært / lærer, lærte, har lært","学习；学会；教（依语境）","Jeg lærer norsk på tirsdager. / Han lærte barna å svømme.","我星期二学挪威语。 / 他教孩子们游泳。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"lage","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","lage · lager · laget · laget / lager, lagde, har lagd","制作；做（饭）；创造","Vi lager middag sammen. / Hun laget en kake til festen.","我们一起做晚饭。 / 她为聚会做了一个蛋糕。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"legge","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D; 10A","4","legge · legger · la · lagt / legger, la, har lagt","放置；搁下；躺下（反身结构）","Jeg legger nøklene på bordet. / Barna la seg klokka åtte.","我把钥匙放在桌上。 / 孩子们八点上床睡觉。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"lese","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","lese · leser · leste · lest / leser, leste, har lest","读；阅读；学习某门学科；朗读（依结构）","Jeg leser en norsk bok før jeg legger meg. / Hun leste til eksamen hele helga.","我睡前读一本挪威语书。 / 她整个周末都在为考试学习。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"løfte","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","løfte · løfter · løftet · løftet / løfter, løftet, har løftet","抬起；举起；提起；提升（依语境）","Kan du hjelpe meg med å løfte bordet? / Hun løftet blikket og smilte.","你能帮我抬一下桌子吗？ / 她抬起头，笑了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"lomme","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","ei lomme · lomma · lommer · lommene / lomma, lommer, lommene","口袋；衣袋","Nøkkelen ligger i lomma mi. / Jakka har fire lommer.","钥匙在我的口袋里。 / 这件外套有四个口袋。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"lyskryss","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","et lyskryss · lyskrysset · lyskryss · lyskryssene / lyskrysset, lyskryss, lyskryssene","红绿灯路口；有交通信号灯的交叉路口","Gå over gata ved lyskrysset. / Det er kø gjennom lyskrysset.","在红绿灯路口过马路。 / 车流排队通过红绿灯路口。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"matbu","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","ei matbu · matbua · matbuer · matbuene / matbua, matbuer, matbuene","食品摊；卖简餐或食物的小摊/小店","Vi kjøpte pølser i ei matbu på markedet. / Matbua selger kaffe og vafler.","我们在集市的一个食品摊买了热狗。 / 这个食品摊卖咖啡和华夫饼。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"mene","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","mene · mener · mente · ment / mener, mente, har ment","认为；觉得；意思是；指的是","Jeg mener at vi bør ta bussen. / Hva mener du med dette ordet?","我认为我们应该坐公交车。 / 你说这个词是什么意思？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"meter","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","en meter · meteren · meter · meterne / meteren, meter, metrene","米（长度单位）","Bordet er nesten to meter langt. / Skolen ligger hundre meter herfra.","这张桌子将近两米长。 / 学校离这里一百米。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"minutt","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","et minutt · minuttet · minutter · minuttene / minuttet, minutter, minuttene","分钟；片刻","Toget går om fem minutter. / Kan du vente et minutt?","火车五分钟后发车。 / 你能等一分钟吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"mor","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","ei mor · mora · mødre · mødrene / mora, mødre, mødrene","母亲；妈妈","Mora mi bor i Bergen. / Mødrene venter utenfor skolen.","我妈妈住在卑尔根。 / 几位母亲在学校外面等。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"nabolag","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","et nabolag · nabolaget · nabolag · nabolagene / nabolaget, nabolag, nabolagene","社区；街坊邻里；居住周边","Det er en fin park i nabolaget. / De bor i et rolig nabolag.","社区里有一个不错的公园。 / 他们住在一个安静的社区。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"nær","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","nær · nært · nære · nærmere · nærmest / nært, nære","近的；靠近的；亲近的","Butikken ligger nær skolen. / Det nærmeste apoteket er fem minutter unna.","商店在学校附近。 / 最近的药房在五分钟路程外。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"nærhet","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","en nærhet · nærheten · nærheter · nærhetene / nærheten, - , nærhetene","附近；接近；亲近（常见于固定搭配）","Det ligger en matbutikk i nærheten av huset. / Vi bor i nærheten, så jeg kan gå dit.","房子附近有一家食品店。 / 我们住得很近，所以我可以走过去。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"onsdag","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","en onsdag · onsdagen · onsdager · onsdagene / onsdagen, onsdager, onsdagene","星期三；一个星期三","Jeg har time hos legen på onsdag. / Vi trener sammen på onsdager.","我星期三有医生预约。 / 我们每周三一起锻炼。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"opp","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04A","4","opp","向上；上去；起来","Jeg står opp klokka seks. / Gå opp trappa, så finner du kontoret.","我六点起床。 / 上楼梯，然后你就能找到办公室。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"over","介词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","over","在……上方；越过；穿过；超过（依语境）","Vi går over gata ved fotgjengerfeltet. / Lampa henger over bordet.","我们在人行横道处过马路。 / 灯挂在桌子上方。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
